Longitude,Latitude,Altitude,Roll,Pitch,Yaw,Heading
42.1925,42.18792368,3000,0,330,0,0
42.1925,42.18794736,3000,0,330,0,0
42.1925,42.18797104,3000,0,330,0,0
42.1925,42.18799472,3000,0,330,0,0
42.1925,42.1880184,3000,0,330,0,0
42.1925,42.18804208,3000,0,330,0,0
42.1925,42.18806576,3000,0,330,0,0
42.1925,42.18808944,3000,0,330,0,0
42.1925,42.18811312,3000,0,330,0,0
42.1925,42.1881368,3000,0,330,0,0
42.1925,42.18816048,3000,0,330,0,0
42.1925,42.18818416,3000,0,330,0,0
42.1925,42.18820784,3000,0,330,0,0
42.1925,42.18823152,3000,0,330,0,0
42.1925,42.1882552,3000,0,330,0,0
42.1925,42.18827888,3000,0,330,0,0
42.1925,42.18830256,3000,0,330,0,0
42.1925,42.18832624,3000,0,330,0,0
42.1925,42.18834992,3000,0,330,0,0
42.1925,42.1883736,3000,0,330,0,0
42.1925,42.18839728,3000,0,330,0,0
42.1925,42.18842096,3000,0,330,0,0
42.1925,42.18844464,3000,0,330,0,0
42.1925,42.18846832,3000,0,330,0,0
42.1925,42.188492,3000,0,330,0,0
42.1925,42.18851568,3000,0,330,0,0
42.1925,42.18853936,3000,0,330,0,0
42.1925,42.18856304,3000,0,330,0,0
42.1925,42.18858672,3000,0,330,0,0
42.1925,42.1886104,3000,0,330,0,0
42.1925,42.18863408,3000,0,330,0,0
42.1925,42.18865776,3000,0,330,0,0
42.1925,42.18868144,3000,0,330,0,0
42.1925,42.18870512,3000,0,330,0,0
42.1925,42.1887288,3000,0,330,0,0
42.1925,42.18875248,3000,0,330,0,0
42.1925,42.18877616,3000,0,330,0,0
42.1925,42.18879984,3000,0,330,0,0
42.1925,42.18882352,3000,0,330,0,0
42.1925,42.1888472,3000,0,330,0,0
42.1925,42.18887088,3000,0,330,0,0
42.1925,42.18889456,3000,0,330,0,0
42.1925,42.18891824,3000,0,330,0,0
42.1925,42.18894192,3000,0,330,0,0
42.1925,42.1889656,3000,0,330,0,0
42.1925,42.18898928,3000,0,330,0,0
42.1925,42.18901296,3000,0,330,0,0
42.1925,42.18903664,3000,0,330,0,0
42.1925,42.18906032,3000,0,330,0,0
42.1925,42.189084,3000,0,330,0,0
42.1925,42.18910768,3000,0,330,0,0
42.1925,42.18913136,3000,0,330,0,0
42.1925,42.18915504,3000,0,330,0,0
42.1925,42.18917872,3000,0,330,0,0
42.1925,42.1892024,3000,0,330,0,0
42.1925,42.18922608,3000,0,330,0,0
42.1925,42.18924976,3000,0,330,0,0
42.1925,42.18927344,3000,0,330,0,0
42.1925,42.18929712,3000,0,330,0,0
42.1925,42.1893208,3000,0,330,0,0
42.1925,42.18934448,3000,0,330,0,0
42.1925,42.18936816,3000,0,330,0,0
42.1925,42.18939184,3000,0,330,0,0
42.1925,42.18941552,3000,0,330,0,0
42.1925,42.1894392,3000,0,330,0,0
